"INFO (lib, sha, issue_sha)",Consistency? 1yes；0no,Note,Human label,LLM output
"""lib"": ""scikit-learn"",
        ""sha"": ""395761a76397a560303f00d3db24a50a00ca11ed"",
        ""issue_sha"": ""395761a76397a560303f00d3db24a50a00ca11ed""",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""131109b0037ec71e4a4f262b888e198d58e38f24"",
        ""issue_sha"": ""395761a76397a560303f00d3db24a50a00ca11ed"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""483fafe5d1a27446a8f05a0d9bb3762de47b1618"",
        ""issue_sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",
        ""issue_sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",",1,,,
" ""lib"": ""scikit-learn"",
        ""sha"": ""767d3555a51a4d9279ca47c9426df8b6418da8ce"",
        ""issue_sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",",0,miss,,
"""lib"": ""scikit-learn"",
        ""sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",
        ""issue_sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""7e8d3c505baafa45bd94d9e28ee3d35141ff91c4"",
        ""issue_sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",
        ""issue_sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""07bc459be26c7d83d5c980553a853b136ca19c71"",
        ""issue_sha"": ""beea7838cc8ec61c78255bd9c8b400997e30db32"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""a0ba256dbe9380b5d2cf9cee133482fc87768267"",
        ""issue_sha"": ""a0ba256dbe9380b5d2cf9cee133482fc87768267"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""7404a82891ef82c525ec61c76090f12424670a44"",
        ""issue_sha"": ""7404a82891ef82c525ec61c76090f12424670a44"",",1,different format,"""constraints"": ""(code_init != 'None') ^ (dict_init != 'None')"",","1. 
   Text Constraint: ""Only used if `code_init` and `dict_init` are not None.""
   Logical Format: ((code_init != 'None') ^ (dict_init != 'None')) -> (dict_init = 'used') ^ (code_init = 'used')"
"""lib"": ""scikit-learn"",
        ""sha"": ""1e46db669318fe20458d7cf135f6107e19e90970"",
        ""issue_sha"": ""1e46db669318fe20458d7cf135f6107e19e90970"",",1,,,
"""lib"": ""scikit-learn"",
        ""sha"": ""b5d63e34746ec273c1cbc5992a0477198a22f8be"",
        ""issue_sha"": ""b5d63e34746ec273c1cbc5992a0477198a22f8be"",",1,different format,"""constraints"": ""(n_nonzero_coefs_ = 'None') ^ (tol = 'None')""","6. Text Constraint: ""n_nonzero_coefs_:int The number of non-zero coefficients in the solution. If `n_nonzero_coefs` is None and `tol` is None this value is either set to 10% of `n_features` or 1, whichever is greater.""
   Logical Format: ((n_nonzero_coefs = 'None') ^ (tol = 'None')) -> (n_nonzero_coefs_ = max(0.1 * n_features, 1))"
