"INFO (lib, sha, issue_sha)",Consistency? 1yes；0no,Note,Human label,LLM output
"""lib"": ""scikit-learn"",
        ""sha"": ""395761a76397a560303f00d3db24a50a00ca11ed"",
        ""issue_sha"": ""395761a76397a560303f00d3db24a50a00ca11ed""",1,,"constraints: ""(strategy = 'uniform') -> (sample_weight != 'None')"",",   Logical Format: (strategy = 'uniform') -> !(sample_weight = 'use').
"""lib"": ""scikit-learn"",
        ""sha"": ""131109b0037ec71e4a4f262b888e198d58e38f24"",
        ""issue_sha"": ""395761a76397a560303f00d3db24a50a00ca11ed"",",0,miss,"constraints: ""(strategy = 'quantile') -> (sample_weight != 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""483fafe5d1a27446a8f05a0d9bb3762de47b1618"",
        ""issue_sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",",1,,"constraints: ""(with_mean = 'False') -> (mean_ = 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",
        ""issue_sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",",1,,"constraints: ""((with_mean = 'False') ^ (with_std = 'False')) -> (mean_ = 'None')"",",
" ""lib"": ""scikit-learn"",
        ""sha"": ""767d3555a51a4d9279ca47c9426df8b6418da8ce"",
        ""issue_sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",",0,miss,"constraints: ""(n_features_to_select = 'warn') -> (tol != 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",
        ""issue_sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",",1,,"constraints: ""(n_features_to_select = 'auto') -> (tol != 'None')"",",Logical Format: (n_features_to_select = 'auto') -> (tol = 'enabled')
"""lib"": ""scikit-learn"",
        ""sha"": ""7e8d3c505baafa45bd94d9e28ee3d35141ff91c4"",
        ""issue_sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",",1,,"constraints: ""(multi_class = 'ovo') -> (average = 'None')"",","Constraint Number: 1
Text Constraint: ""Note: multiclass ROC AUC currently only handles the 'macro' and 'weighted' averages. For multiples targets, `average=None` is only implemented for `multi_class='ovo'` and `average='micro'` is only implemented for `multi_class='ovr'`.""
Logical Format: ((average = 'macro' || average = 'weighted') -> (multi_class != 'raise')) ^ ((average = 'None') -> (multi_class = 'ovo')) ^ ((average = 'micro') -> (multi_class = 'ovr'))"
"""lib"": ""scikit-learn"",
        ""sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",
        ""issue_sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",",1,,"constraints: ""(multi_class = 'ovr') -> (average = 'None')"",","Text Constraint: ""average:{'micro', 'macro', 'samples', 'weighted'} or None, default='macro' If ``None``, the scores for each class are returned. Otherwise, this determines the type of averaging performed on the data. Note: multiclass ROC AUC currently only handles the 'macro' and 'weighted' averages. For multiclass targets, `average=None` is only implemented for `multi_class='ovr'` and `average='micro'` is only implemented for `multi_class='ovr'`.""
Logical Format: ((average = 'None') -> (return = 'scores for each class')) ^ ((average != 'None') -> (return = 'type of averaging')) ^ ((average = 'None' ^ multi_class = 'ovr') || (average = 'micro' ^ multi_class = 'ovr'))"
"""lib"": ""scikit-learn"",
        ""sha"": ""07bc459be26c7d83d5c980553a853b136ca19c71"",
        ""issue_sha"": ""beea7838cc8ec61c78255bd9c8b400997e30db32"",",1,,"constraints: ""(store_cv_values = 'True') -> (cv_values_ != 'None')"",","Text Constraint: ""store_cv_values:bool, default=False Flag indicating if the cross-validation values corresponding to each alpha should be stored in the ``cv_values_`` attribute (see below). This flag is only compatible with ``cv=None`` (i.e. using Leave-One-Out Cross-Validation).""
Logical Format: (store_cv_values ^ cv = 'None') -> (cv_values_ = 'store')"
"""lib"": ""scikit-learn"",
        ""sha"": ""a0ba256dbe9380b5d2cf9cee133482fc87768267"",
        ""issue_sha"": ""a0ba256dbe9380b5d2cf9cee133482fc87768267"",",1,,"constraints: ""(bootstrap = 'True') -> (oob_score != 'None')"",","Text Constraint: ""oob_score:bool, default=False Whether to use out-of-bag samples to estimate the generalization error. Only available if bootstrap=True.""
Logical Format: (oob_score) -> (bootstrap)."
