"INFO (lib, sha, issue_sha)",Consistency? 1yes；0no,Note,Human label,LLM output
"""lib"": ""scikit-learn"",
        ""sha"": ""395761a76397a560303f00d3db24a50a00ca11ed"",
        ""issue_sha"": ""395761a76397a560303f00d3db24a50a00ca11ed""",0,incorrect,"constraints: ""(strategy = 'uniform') -> (sample_weight != 'None')"",","Constraint 2:
Text Constraint: When strategy is set to 'uniform', the sample_weight parameter cannot be used.
Logical Format: (strategy = 'uniform') -> !use(sample_weight)"
"""lib"": ""scikit-learn"",
        ""sha"": ""131109b0037ec71e4a4f262b888e198d58e38f24"",
        ""issue_sha"": ""395761a76397a560303f00d3db24a50a00ca11ed"",",0,miss,"constraints: ""(strategy = 'quantile') -> (sample_weight != 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""483fafe5d1a27446a8f05a0d9bb3762de47b1618"",
        ""issue_sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",",0,miss,"constraints: ""(with_mean = 'False') -> (mean_ = 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",
        ""issue_sha"": ""10997c94fd19f999b3d257b137f7722af0bd6fd8"",",1,,"constraints: ""((with_mean = 'False') ^ (with_std = 'False')) -> (mean_ = 'None')"",",Logical Format: ((!with_mean ^ !with_std) -> (mean_ == None))
" ""lib"": ""scikit-learn"",
        ""sha"": ""767d3555a51a4d9279ca47c9426df8b6418da8ce"",
        ""issue_sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",",0,miss,"constraints: ""(n_features_to_select = 'warn') -> (tol != 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",
        ""issue_sha"": ""8409b877fdf3212cd9ed65c7868202961a777a20"",",0,incorrect,"constraints: ""(n_features_to_select = 'auto') -> (tol != 'None')"",","1. Constraint Number: 1
   Text Constraint: If `n_features_to_select` is `""auto""`, the behaviour depends on the `tol` parameter:  - if `tol` is not `None`, then features are selected while the score change does not exceed `tol`. - otherwise, half of the features are selected.
   Logical Format: (n_features_to_select == ""auto"") -> ((tol != None) ^ (tol == None))"
"""lib"": ""scikit-learn"",
        ""sha"": ""7e8d3c505baafa45bd94d9e28ee3d35141ff91c4"",
        ""issue_sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",",1,,"constraints: ""(multi_class = 'ovo') -> (average = 'None')"","," Constraint 3:
Text Constraint: For multiples targets, `average=None` is only implemented for `multi_class='ovo'`.
Logical Format: (classification = multiclass) ^ (targets = multiple) -> (average = None -> (multi_class = 'ovo'))"
"""lib"": ""scikit-learn"",
        ""sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",
        ""issue_sha"": ""451f2121eab19dd25c337192a89d8c1582664d89"",",1,,"constraints: ""(multi_class = 'ovr') -> (average = 'None')"",","Constraint 1:
Text Constraint: For multiclass targets, `average=None` is only implemented for `multi_class='ovr'` and `average='micro'` is only implemented for `multi_class='ovr'`.
Logical Format: (average == 'None' || average == 'micro') -> (multi_class == 'ovr')"
"""lib"": ""scikit-learn"",
        ""sha"": ""07bc459be26c7d83d5c980553a853b136ca19c71"",
        ""issue_sha"": ""beea7838cc8ec61c78255bd9c8b400997e30db32"",",0,incorrect,"constraints: ""(store_cv_values = 'True') -> (cv_values_ != 'None')"",","Constraint 3:
Text Constraint: Flag indicating if the cross-validation values corresponding to each alpha should be stored in the ``cv_values_`` attribute (see below). This flag is only compatible with ``cv=None`` (i.e. using Leave-One-Out Cross-Validation).
Logical Format: (store_cv_values == True) -> (cv == None)"
"""lib"": ""scikit-learn"",
        ""sha"": ""a0ba256dbe9380b5d2cf9cee133482fc87768267"",
        ""issue_sha"": ""a0ba256dbe9380b5d2cf9cee133482fc87768267"",",1,,"constraints: ""(bootstrap = 'True') -> (oob_score != 'None')"",","Constraint 1:
Text Constraint: ""oob_score:bool, default=False Whether to use out-of-bag samples to estimate the generalization error. Only available if bootstrap=True.""
Logical Format: (oob_score == True) -> (bootstrap == True)"
"""lib"": ""scikit-learn"",
        ""sha"": ""7404a82891ef82c525ec61c76090f12424670a44"",
        ""issue_sha"": ""7404a82891ef82c525ec61c76090f12424670a44"",",1,,"constraints: ""(code_init != 'None') ^ (dict_init != 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""1e46db669318fe20458d7cf135f6107e19e90970"",
        ""issue_sha"": ""1e46db669318fe20458d7cf135f6107e19e90970"",",1,,"constraints: ""(with_std = 'False') -> (scale_ = 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""b5d63e34746ec273c1cbc5992a0477198a22f8be"",
        ""issue_sha"": ""b5d63e34746ec273c1cbc5992a0477198a22f8be"",",1,,"constraints: ""(n_nonzero_coefs_ = 'None') ^ (tol = 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""53fea53c6f44580738feb6d890f55d7de2fe8cc6"",
        ""issue_sha"": ""53fea53c6f44580738feb6d890f55d7de2fe8cc6"",",1,,"constraints: ""(features = 'missing-only') -> (error_on_new != 'None')"",","Constraint 6:
Text Constraint: If True, transform will raise an error when there are features with missing values in transform that have no missing values in fit. This is applicable only when `features='missing-only'`.
Logical Format: (error_on_new == True) ^ (features == 'missing-only') -> (raise_error == True)"
"""lib"": ""scikit-learn"",
        ""sha"": ""5147fd09c6a063188efde444f47bd006fa5f95f0"",
        ""issue_sha"": ""5147fd09c6a063188efde444f47bd006fa5f95f0"",",1,,"constraints: ""(is_saga = 'True') -> (n_samples != 'None')"",",
"""lib"": ""scikit-learn"",
        ""sha"": ""b513081c658317eabafd713d6d5d18f7a5a30a73"",
        ""issue_sha"": ""b513081c658317eabafd713d6d5d18f7a5a30a73"",",1,,"constraints: ""(affinity = 'nearest_neighbors') -> (n_jobs = 'exist')"",",
